"Nombre de módulo","Autor","Sitio web","Última versión"
"Compra","Odoo S.A.","https://www.odoo.com/page/purchase","13.0.1.2"
"Stock de Compra","Odoo S.A.",,"13.0.1.2"
"Ayuda","Odoo S.A.","https://www.odoo.com/page/helpdesk?utm_source=db&utm_medium=module","13.0.1.0"
"Stock de Solicitud de compra","Odoo S.A.",,"13.0.1.2"
"Empleados","Odoo S.A.","https://www.odoo.com/page/employees","13.0.1.1"
"HR Timesheet Sheet","ForgeFlow, Onestein, CorporateHub, Odoo Community Association (OCA)","https://github.com/OCA/timesheet","13.0.1.1.1"
"Asistencias","Odoo S.A.","https://www.odoo.com/page/employees","13.0.2.0"
"Proceso de Selección","Odoo S.A.","https://www.odoo.com/page/recruitment","13.0.1.0"
"Gastos","Odoo S.A.","https://www.odoo.com/page/expenses","13.0.2.0"
"Valores por defecto en la contabilidad analítica","Odoo S.A.",,"13.0.1.0"
"Cuentas Analíticas Predeterminadas para gastos.","Odoo S.A.",,"13.0.1.0"
"Account Analytic Defaults for Purchase.","Odoo S.A.",,"13.0.1.0"
"Account Analytic Parent","Matmoz d.o.o., Luxim d.o.o., Deneroteam, ForgeFlow, Tecnativa, CorporateHub, Odoo Community Association (OCA)","https://www.github.com/OCA/account-analytic.git","13.0.1.1.1"
"Account Analytic Required","Akretion, Odoo Community Association (OCA)","https://github.com/OCA/account-analytic","13.0.2.0.2"
"Account Analytic Sequence","ACSONE SA/NV,Odoo Community Association (OCA)","https://github.com/OCA/account-analytic","13.0.1.0.0"
"Account Analytic Tag Default","ForgeFlow, Odoo Community Association (OCA)","https://www.github.com/OCA/account-analytic.git","13.0.1.0.0"
"Account Asset Batch Compute","ACSONE SA/NV,ForgeFlow,Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Assets Management","Noviat, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.3.7.3"
"Assets Management Menu","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Balance on journal items","Camptocamp,Tecnativa,Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Bank Reconciliation Report","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-financial-reporting","13.0.1.0.0"
"Importe del extracto bancario de la cuenta","Odoo S.A.",,"13.0.1.0"
"Account Banking Mandate","Compassion CH, Tecnativa, Akretion, Odoo Community Association (OCA)","https://github.com/OCA/bank-payment","13.0.1.3.0"
"Account Banking PAIN Base Module","Akretion, Noviat, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/bank-payment","13.0.1.0.1"
"Account Banking SEPA Credit Transfer","Akretion, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/bank-payment","13.0.1.1.0"
"Account Banking SEPA Direct Debit","Akretion, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/bank-payment","13.0.1.2.0"
"Billing Process","Ecosoft, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.5"
"Account Brand","Open Source Integrators,ACSONE SA/NV,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Detect changes and update the Account Chart from a template","Tecnativa, BCIM, Okia, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.2.0.0"
"Account Check Management","ADHOC SA, AITIC S.A.S",,"13.0.1.4.0"
"Account Check Deposit","Akretion, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.1.0"
"Impresión de cheques","Odoo S.A.",,"13.0.1.0"
"Account Accrual Base","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-closing","13.0.1.0.1"
"Account Accrual Dates","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-closing","13.0.1.0.1"
"Account Cut-off Accrual Picking","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-closing","13.0.1.0.1"
"Account Cut-off Base","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-closing","13.0.1.0.1"
"Account Cut-off Prepaid","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-closing","13.0.1.0.1"
"Notas débito","Odoo S.A.",,"13.0.1.0"
"Account Debt Report","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Account Document Reversal","Ecosoft,ForgeFlow,Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Importe Facturas des de XML","Odoo S.A.",,"13.0.1.0"
"Accounting Financial Amounts","ADHOC SA",,"13.0.1.0.0"
"Account Financial Reports","Camptocamp SA,initOS GmbH,redCOR AG,ForgeFlow,Odoo Community Association (OCA)","https://odoo-community.org/","13.0.1.8.1"
"Account Fiscal Month","ACSONE SA/NV, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Fiscal Position Allowed Journal","ACSONE SA/NV, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Fiscal Year","Agile Business Group, Camptocamp SA, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Global Discount","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/server-backend","13.0.2.0.1"
"Account Invoice Alternate Payer","Eficent,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing/","13.0.1.0.0"
"Account Invoice Base Invoicing Mode","Camptocamp, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Invoice Blocking","Acsone SA/NV,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing/","13.0.1.0.0"
"Account Invoice Check Picking Date","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Account Invoice Check Total","Acsone SA/NV, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Invoice Comments Template","Camptocamp, Tecnativa, Odoo Community Association (OCA)",,"13.0.1.1.1"
"Account Invoice Constraint Chronology","Odoo Community Association (OCA), ACSONE SA/NV, CorporateHub","https://github.com/OCA/account-financial-tools","13.0.1.0.2"
"Account Invoice Control","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Update Invoice's Due Date","Vauxoo,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
